playdate_id,pet1_id,pet1_owner_id,pet2_id,pet2_owner_id,schedule_id,scheduled_datetime,activity_type,playdate_status
1,1,1,6,6,1,2024-06-01 14:00,walk,confirmed
2,29,29,65,65,29,2024-08-04 10:00,date,confirmed
3,34,34,76,76,34,2024-07-04 15:00,breed,confirmed
4,22,22,44,44,22,2024-06-22 09:00,walk,confirmed
5,5,5,49,49,5,2024-07-16 15:00,date,confirmed
6,13,13,88,88,13,2024-06-13 11:00,breed,confirmed
7,7,7,8,8,7,2024-06-07 16:00,walk,cancelled
8,9,9,14,14,9,2024-06-09 10:00,date,cancelled
9,15,15,17,17,15,2024-06-15 18:00,breed,cancelled
10,10,10,20,20,10,2024-06-10 15:00,walk,cancelled
11,25,25,28,28,25,2024-06-25 09:00,date,cancelled
12,55,55,60,60,55,2024-07-25 21:00,breed,cancelled
13,65,65,71,71,65,2024-08-04 10:00,walk,cancelled
14,84,84,18,18,84,2024-08-24 23:00,date,cancelled
