pet_id,name,photo,pet_status,description,species_breed_id,date_of_birth,gender,postal_code,has_full_immune_shots,is_pregnant,average_rating,num_of_ratings,looking_for,register_time,is_neutered
1,Mochi,null,healthy,Loves to snuggle,38,2024-02-13,female,V5L4S1,1,0,4.36,10,playdate,2024-04-02 19:13,1
2,Noodle,null,healthy,Full of energy,12,2023-12-25,male,V5M1Y4,1,0,4.42,21,playdate,2024-02-18 20:56,1
3,Pepper,null,healthy,Enjoys playing fetch,33,2022-06-10,female,V5M1Z1,1,0,3.44,32,playdate,2024-03-13 13:23,1
4,Captain,null,healthy,A loyal companion,78,2019-03-01,male,V5M1Z7,1,0,4.65,14,playdate,2024-05-18 21:12,1
5,Luna,null,healthy,Curious and adventurous,5,2018-04-01,female,V5M2A1,1,0,2.1,23,playdate,2024-02-02 10:10,1
6,Kiwi,null,healthy,Loves belly rubs,29,2022-05-05,male,V5M2B2,0,0,2.76,6,playdate,2024-04-25 12:51,1
7,Sherlock,null,healthy,Friendly with everyone,56,2021-03-09,female,V5M3T4,0,0,4.75,3,playdate,2024-01-23 08:47,1
8,Maple,null,healthy,Enjoys long walks,55,2024-01-01,other,V5N1C1,0,0,2.11,5,playdate,2024-04-22 05:39,1
9,Arlo,null,healthy,Playful and joyful,1,2022-12-12,other,V5N1L7,0,0,2.83,23,playdate,2024-05-25 19:28,1
10,Bumble,null,healthy,Loves to be pampered,64,2022-11-09,male,V5N1W6,0,0,3.62,16,playdate,2024-02-03 22:58,1
11,Bella,null,bad mood,Loves attention and belly rubs,19,2019-05-15,female,V5N1Z9,1,0,4.23,25,playdate,2024-04-20 15:17,1
12,Max,null,healthy,Energetic and loves running,37,2023-02-20,male,V5N2G2,0,0,4.58,30,playdate,2024-05-03 05:29,1
13,Luna,null,healthy,"Sweet and gentle, great with kids",42,2018-11-10,female,V5N2R8,1,0,4,20,mate,2024-02-04 17:55,1
14,Charlie,null,healthy,Loves playing fetch and going on hikes,22,2021-08-03,other,V5N2T7,1,0,4.72,35,playdate,2024-01-10 07:11,1
15,Lucy,null,healthy,Affectionate and enjoys sunbathing,68,2019-12-28,female,V5N2Z9,1,0,4.35,28,playdate,2024-05-20 15:37,1
16,Cooper,null,healthy,Protective and loves car rides,7,2020-06-10,male,V5N3E8,1,0,4.61,32,playdate,2024-02-07 21:19,1
17,Daisy,null,healthy,"Playful and curious, loves exploring",54,2017-04-22,other,V5N3X5,1,0,4.12,22,playdate,2024-01-09 22:07,1
18,Duke,null,bad mood,Active and enjoys long walks,82,2016-09-14,male,V5N5A5,1,0,4.43,29,playdate,2024-02-15 17:49,1
19,Zoe,null,healthy,"Gentle and affectionate, loves cuddles",15,2018-02-09,female,V5P2R8,1,0,4.24,24,mate,2024-03-27 21:06,1
20,Rocky,null,healthy,Playful and loves belly rubs,45,2015-11-30,other,V5P2V9,1,0,4.55,31,playdate,2024-04-11 21:56,1
21,Sadie,null,healthy,Energetic and enjoys playing fetch,6,2017-07-18,other,V5R2A5,1,0,4.36,27,playdate,2024-03-08 21:44,1
22,Oscar,null,healthy,Sweet and loves meeting new friends,31,2019-03-05,male,V5R2J2,1,0,4.62,33,playdate,2024-04-30 02:07,1
23,Ruby,null,healthy,Calm and enjoys relaxing in the sun,71,2016-01-17,female,V5R2J8,1,0,4.15,23,playdate,2024-04-09 23:51,1
24,Teddy,null,healthy,Playful and loves attention,11,2022-11-29,male,V5R2K4,0,0,4.43,28,playdate,2024-03-09 14:38,1
25,Lily,null,healthy,Affectionate and enjoys walks,16,2018-06-03,female,V5R2S3,1,0,4.25,25,playdate,2024-01-19 19:52,1
26,Winston,null,healthy,Energetic and loves playing outside,76,2019-09-20,male,V5R2S6,1,0,4.53,30,playdate,2024-04-16 04:57,1
27,Coco,null,bad mood,Playful and loves belly rubs,18,2023-12-12,other,V5R3N8,0,0,4.15,21,mate,2024-04-16 04:53,1
28,Murphy,null,healthy,Loves going on hikes and swimming,41,2016-04-05,male,V5R3W4,1,0,4.72,36,playdate,2024-03-19 03:13,1
29,Mia,null,healthy,Friendly and loves meeting new people,4,2015-02-18,other,V5R4J5,1,0,4.33,29,playdate,2024-04-06 10:55,1
30,Bailey,null,sick,Loves playing with toys,2,2016-07-08,male,V5R4J6,1,0,4.64,32,playdate,2024-05-01 19:40,1
31,Rosie,null,healthy,Sweet and loves cuddling,34,2018-03-25,female,V5R4J8,1,0,4.18,22,playdate,2024-02-04 06:25,1
